"1","的","de","Aux.","1","1682530","Particles & function words","Picture a bright golden ribbon linking one object to another, symbolizing belonging or connection.","The particle 的 (de) is used in Mandarin Chinese to indicate possession, relation, specification, or definiteness of a noun phrase; it attaches grammatically to the noun following such premodifiers as ""this,"" ""that,"" ""such,"" and demonstratives. Though technically attached only to nouns, this particle is also commonly used with other words (like numerals) to specify which one out of several options you mean. It's extremely common in Chinese and often appears hundreds of times per day; however, there are three similar-looking particles that can sometimes be confused: 地 (dei), for adjectives modifying verbs or verb phrases; 和 (he), meaning ""and"" when used as a grammatical connector between nouns; and 些 (xiē), which is an indefinite quantifier.","1. 他买的手机很好看。  2. 我喜欢吃苹果做的蛋糕。  3. 小明弹钢琴的样子很优雅。"
"2","我","wǒ","I","1","1682285","Pronouns","A person looking into a mirror, observing their own reflection.","I (or me). This is a basic word used to refer to oneself in the first person singular.","1. 我每天都会吃饭。 2. 我需要好好睡觉了。 3. 今天我要去工作。"
"3","你","nǐ","You","1","1329424","Pronouns","Your hand reaches out to me.","This word means ""you"" in English. It is a common and basic pronoun used to address someone directly, without distinguishing between singular or plural forms like ""You"" does in English (""your"" vs. ""you all""). Other words such as ""thou,"" ""thee,"" or ""y'all"" can be used depending on the context, but in standard modern Chinese usage, it's simply equivalent to the English word ""you.""",""
"4","是","shì","Yes","1","947807","Core/common verbs (be, have, do)","Nodding head.","Yes, a common word used to indicate agreement or affirmation in English.",""
"5","了","le","Past tense marker","1","946365","Particles & function words","A fallen leaf gently hangs still.","The Chinese character ""了"" (le) is a versatile word used to mark the completion of an action or event, often functioning as a grammatical particle without a direct English translation. It serves primarily as an auxiliary verb indicating past tense or a change in state, and can also add a concluding tone to sentences. While it might not have an exact equivalent in English due to its grammatical nature, words like ""has"" (in present perfect) or simply using the simple past form of verbs could sometimes convey similar ideas, though often not with the same nuance.","1. 我吃饭了。 2. 现在天黑了。 3. 他终于来了。"
"6","不","bù","No","1","689161","Modal verbs & auxiliaries","Not. A single bird refusing to sing, untouched by the dawn.","The character ""不"" means no or not. It is one of the most commonly used words in Chinese, indicating negation or refusal. Other similar words include ""否"", ""没"", and ""不是"".",""
"7","在","zài","Stay; in process of","1","429766","Prepositions & localizers","A path of grass extends into the distance, symbolizing presence and continuation.","The Chinese word ""在"" is a versatile character that functions as an auxiliary verb or particle. Its basic meaning relates to existence, presence, or occurrence, and it's commonly used in words like “正在” (zhèng zài) meaning “is happening,” or with verbs indicating location or action, such as in “在未来” (zài wèilái), which means ""in the future."" It can be part of various compound terms depending on context.","1. 我在公园里散步。  2. 他在看一本书。  3. 大家应该在休息了。"
"8","他","tā","He","1","397653","Pronouns","A man standing under the sun, gazing at a distant mountain range with determination and calm.","He is a common English word used to refer to a male person, especially when talking about someone else.","1. 他在房间里读书。  2. 我们需要问他一些问题。  3. 今天他心情很好。"
"9","我们","wǒmen","We","1","371696","Pronouns","We have two people standing close to each other, their hands touching slightly.","The Chinese word ""我们"" means ""we"", and it is one of the most commonly used words in Mandarin, referring to a group including the speaker or writer. Other terms that could be used similarly include ""大家"" for a larger collective or audience, and ""同胞"" which can mean fellow countryman but also extends to people facing similar circumstances or situations.",""
"10","好","hǎo","Good","1","334698","Evaluation & preference","This character represents ""good"" or ""well"", and can be visualized by a smiling woman gracefully passing something to another, signifying the exchange of kindness.","The Chinese word ""好"" (hǎo) means good, and it is very commonly used. Besides using the English word ""good,"" other words like ""nice,"" ""great,"" or ""well"" can sometimes be used in similar contexts depending on the situation.",""
"11","有","yǒu","Have","1","289109","Core/common verbs (be, have, do)","A ray of light piercing through thick clouds, symbolizing the presence and existence.","This is the Chinese word for ""have"" or ""to have"". It is a very common verb meaning to possess something, and also serves as an auxiliary in phrases like ""there be"" constructions (e.g., “有一本书” means ""there is one book""). Other words that can sometimes substitute depending on context include 拥有 (yōngyǒu - own/have) or 存在 (cúnzài - exist), but its primary usage remains as the verb for possession.","1. 我家里有一台电视机。 2. 我手上有一个戒指。 3. 超市里有各种各样的水果。"
"12","这","zhè","Here","1","286987","Pronouns","Please provide the specific Chinese character you want me to describe.","This is a common Chinese word meaning ""this"" or ""it,"" used to refer back to something previously mentioned. It can stand alone as an example, such as in the phrase 这 (noun) which directly points to what was just discussed without needing additional particles like 的 for possession or 者 for manner/time emphasis unless modifying a noun specifically. Other similar indicators include 那 (""that""), 或者 (""or"") and 這個/那個 (""this/that one"").",""
"13","就","jiù","As soon as; right away; then","1","276636","Conjunctions & connectives","A heron standing firmly on the shore, having successfully landed from the water.","The word ""就"" (jiù) means to approach or move toward something, or to finish an action. It is commonly used in contexts involving movement or completion of tasks. Other words that can be used similarly include ""approach,"" ""move towards,"" ""get close to,"" and ""finish.""",""
"14","会","huì","Can; be able to","1","265929","Modal verbs & auxiliaries","A group of colorful birds gathering on a branch, spreading their wings to welcome you.","""会"" (huì) means a meeting or conference where people gather for various purposes such as discussion, decision-making, or social interaction; it can also denote an assembly of individuals coming together. This term is commonly used in both spoken and written Chinese to refer to formal get-togethings like business meetings or conventions, but context determines the exact meaning—events that are simple gatherings might use other terms depending on formality versus casual situations (e.g., 会议 for a structured meeting).",""
"15","吗","ma","Auxiliary word","1","249187","Particles & function words","A question mark made of rays, floating above a glowing sun.","The Chinese word ""吗"" is a grammatical particle used at the end of sentences to form yes/no questions, similar to ""is it not?"" or ""?"", and can also add an interrogative tone to ordinary statements. It is commonly used in spoken and written Mandarin to seek confirmation or clarification. Other words like ""呢"" (for suggestions) or ""啊"" (as a general particle for emphasis or continuation) are sometimes used interchangeably depending on the context, but they carry different nuances.",""
"16","要","yào","Want","1","238656","Modal verbs & auxiliaries","A hand reaching towards the core of a gear, shining with light.","The Chinese word ""要"" (yào) means ""to need,"" ""want,"" or ""require."" It is commonly used to express necessity, desire, or demand. Other words that might be used in similar contexts include ""need,"" ""desire,"" and ""demand.""","1. 我想要一个蛋糕。 2. 他需要一些帮助来完成任务。 3. 明天要下雨了，请带伞哦。"
"17","什么","shénme","What","1","236517","Question words","A question mark with a handle, representing the act of inquiry and seeking information.","what; what is",""
"18","说","shuō","Speak","1","226955","Core/common verbs (be, have, do)","Lips parting to form the sound of a word, or spreading words like wings.","This word means ""to speak or express in words."" It is commonly used. Other words that could be used are say and tell.","1. 妈妈说：“吃饭了没？”   2. 你说什么？我没听清。   3. 经理说这个项目要下周一完成。"
"19","她","tā","She","1","221420","Pronouns","A woman stands tall with gentle strength in her eyes and a delicate hand reaching out.","The Chinese word ""她"" (she) means ""her"" or ""she,"" specifically referring to a woman. It is commonly used in writing, especially when the gender of the subject needs to be clearly specified as female for clarity or formal reasons. In contexts where the gender isn't important or could be male and female, you might use other neutral terms like ""他/她"" (he/she) together or avoid specifying it with just ""他"" (he).",""
"20","想","xiǎng","Think","1","212185","Core/common verbs (be, have, do)","Thoughts like pictures come to life.","The Chinese word “想” means to think or consider, and it is commonly used. Other words like ""consider"" or ""wish"" can sometimes be similar in contexts.",""
"21","一","yī","One","1","203626","Quantity & degree","A single bubble rising alone, symbolizing unity and uniqueness.","",""
"22","很","hěn","Very","1","200584","","This character represents a deep or intense feeling, like the shadow of an overcast sky darkening everything beneath it.","The Chinese word is ""hěn"" which means very or extremely. It's commonly used to intensify adjectives or verbs in everyday conversation, similar to English ""very"". In some contexts, you might use other words like 很多 (hěn duō) for a lot, or 非常 (fēicháng) meaning very as alternatives.","1. 今天很热。 2. 我很好，谢谢关心。 3. 听到这个消息他很高兴。"
"23","知道","zhīdào","Know","1","196745","","As an illustration, imagine a golden bridge arcing gracefully above two distinct lands, symbolizing knowledge or understanding connecting different realms.","The word ""知道"" means to understand or be aware of something. It is commonly used in English as ""know"". Other words that could be used include ""understand"", depending on the context.",""
"24","人","rén","People","1","194914","Core/common verbs (be, have, do)","A walking silhouette against the sunlight, with a subtle breeze lifting its collar.","The Chinese word 人 (rén) primarily means ""person"" or ""human."" It is extremely common and versatile, used in countless words referring to people themselves or groups of them (""people,"" ""humanity""), as well as many abstract concepts related to human nature. While there are other characters for specific types of humans like 老人 (lao ren - old person), 孩子 (hai zi - child), and more, all fundamentally stem from this basic concept represented by 人.","1. 每个人都应该努力学习。 2. 他帮助了我很多，是个好人。 3. 做一个人要诚实守信。"
"25","吧","ba","Interjection particle","1","194084","Particles & function words","A brightly lit bar with neon signs and a glass of wine reflecting the scene.","“吧” (bā) is a versatile Chinese word with multiple meanings. As an auxiliary particle, it functions as an emphatic tag question or soft affirmative (""吧"" means ""well then"", ""let's go"" in the sense of agreement), commonly used in informal speech and media to suggest something or add emphasis. It can also refer specifically to certain establishments like a bar (酒吧) or teahouse (茶吧). In some contexts, it might be part of idiomatic expressions or internet slang, but its basic meanings are auxiliary particle for suggestion/emphasis and noun for specific social venues.","1. 明天去公园走走吧。 2. 你累了就随便看看吧。 3. 尝尝这道菜吧，挺好吃的哦。"
"26","那","nà","That","1","190087","Pronouns","A distant mountain range, its outline sharp against the sky, as if asking for a closer look.","""那"" is a versatile Chinese word primarily used as an adverb or demonstrative pronoun. It commonly means ""then"", referring to time, or can mean ""there"" and ""so/that"", relating to place or degree. Other words that might be used in similar contexts include ""那么"" (meaning so then) for both temporal progression and expressing degree, or simply using ""there"".","1. “那我们什么时候开始？”   2. “那就按你说的做吧。”   3. “那件蓝色的衬衫好看吗？”"
"27","来","lái","Come","1","185154","Core/common verbs (be, have, do)","A figure approaches, bringing movement and purpose to the scene.","""来"" means ""to come"" or ""coming,"" often used with prefixes like 从 (cóng) to indicate approach or arrival at a place. It is commonly used and also serves as a grammatical particle for future actions (e.g., 来去, lái qù). Other words such as 到达 (dàole dá), 抵达 (dǐdá), 和 进来 (jìn lái) can be used depending on the context.",""
"28","都","dōu","All","1","177619","Particles & function words","A city gate, grand and imposing, symbolizing unity and the concept of encompassing all.","The word ""都"" (pronounced dū when it's a noun meaning city or capital) primarily functions as an adverb in modern Mandarin, similar to the English word ""also,"" but with a broader scope indicating inclusion of all possibilities. When used as an adverb at the end of sentences, it often carries the nuance that other things are also included (e.g., ""他也会"", meaning ""he will [also]""). In some contexts, especially in certain dialects or classical Chinese usage, ""都"" can be a verb meaning to gather or assemble. It is commonly used and its exact meaning depends heavily on context; similar ideas might be expressed using words like ""也"".","1. 我都是这么想的。 2. 这个我都去过。 3. 都还没到呢。"
"29","个","gè","Individual","1","173905","Quantity & degree","A single individual stands alone in the vast sky, illuminated by a beam of sunlight.","个 is a common Chinese measure word used before almost any noun to indicate one individual item or person (similar to ""an"" in English for singular quantification).",""
"30","能","néng","Can","1","166656","Modal verbs & auxiliaries","Imagine a crescent moon shape radiating beams of light, symbolizing the potential energy that exists within everything.","Can, meaning ability or possibility. It is a very common word used frequently in everyday English to express capability or permission. Other words like ""can"" are often interchangeable depending on the context, such as ""able"", ""may"", ""could"".",""
